"year","rep","scenario","GEI","stage","mean_gv_met","mean_gv_tpe","var_gv_met","var_gv_tpe","acc_met","acc_tpe","met_tpe"
1,1,"Pheno","Moderate","PYT",0.14153018715807,0.123861728759088,0.426280152162007,0.537015454104631,0.3310226657079,0.381960400187825,0.895503188296622
2,1,"Pheno","Moderate","PYT",0.326251125091038,0.275454625154895,1.45267883296174,0.437920188415186,0.42822567330657,0.656314551712156,0.731852575470971
3,1,"Pheno","Moderate","PYT",0.271479234174009,0.456660893477409,0.372148822842358,0.420917398917008,0.363054753266078,0.43533455826033,0.831436920457223
4,1,"Pheno","Moderate","PYT",0.103831662782718,0.136166032740592,0.306438499646165,0.497355267922507,0.254807849726094,0.363167765204672,0.690476728683886
5,1,"Pheno","Moderate","PYT",0.0237795095659127,0.213214702655453,1.03599511011488,0.428359629496119,0.386034021063061,0.567340577160936,0.695411214475563
6,1,"Pheno","Moderate","PYT",0.824485304846393,0.66459978856889,0.887649295141201,0.405009162155108,0.398549838964172,0.563601919206233,0.726347950362702
7,1,"Pheno","Moderate","PYT",1.36165832971437,0.767638098255062,1.47581624849561,0.377140141557083,0.52562565169132,0.649114609403827,0.82594428731584
8,1,"Pheno","Moderate","PYT",0.949667065075615,0.666030550639222,0.949691889860707,0.420834637740555,0.480090954069244,0.58052391633263,0.810772301410077
9,1,"Pheno","Moderate","PYT",0.0376059242827808,0.581928038797308,0.0686497712587295,0.458682937599679,0.0326948015286585,0.201077092020076,0.31031102081491
10,1,"Pheno","Moderate","PYT",0.14596585684575,0.402434047263717,0.674124604334979,0.488291764980506,0.174781915106467,0.481731033262636,0.340090636083806
11,1,"Pheno","Moderate","PYT",0.539673860946142,0.416689245467177,1.56575470525692,0.441500589935943,0.290753721430829,0.659002417461592,0.423798736542195
12,1,"Pheno","Moderate","PYT",0.743755023204457,0.80987669573255,1.63202964701546,0.488355330350138,0.50661810181905,0.678817607482109,0.720316100492092
13,1,"Pheno","Moderate","PYT",1.2478346355747,0.869215266545995,1.77633819846987,0.442909312893077,0.443882376048935,0.695746077813322,0.678135867570303
14,1,"Pheno","Moderate","PYT",1.54938497777189,0.996043069367249,0.89468694503511,0.300407165062496,0.441183549226596,0.511006743470305,0.846046198743834
15,1,"Pheno","Moderate","PYT",1.16941452439559,0.765906762400545,0.784179770367673,0.410303356602776,0.473726087623053,0.510163778406312,0.899579970167139
16,1,"Pheno","Moderate","PYT",0.990155808326561,1.02272112325515,0.399454730601053,0.376263297971802,0.387200089299203,0.451099937378576,0.855633854764395
17,1,"Pheno","Moderate","PYT",0.575944254262391,0.669947620938119,1.02170936403404,0.438215819555934,0.400201946625864,0.579483908866335,0.735830530982394
18,1,"Pheno","Moderate","PYT",1.201438399112,1.04467314179497,1.0868450941277,0.393904074957514,0.395658729227466,0.605412174680945,0.611307700716987
19,1,"Pheno","Moderate","PYT",1.12678460432072,0.839670363087379,1.03924266715234,0.521641024141409,0.450218285170752,0.602947314303976,0.70246202378141
20,1,"Pheno","Moderate","PYT",1.45177532764737,0.937460879872154,3.11104584551456,0.454846665619692,0.462865640483478,0.770904102068355,0.594691174887137
1,1,"Pheno","Moderate","AYT",0.133075186170986,0.215563885233527,0.171055854285137,0.33901469413849,0.575790176939391,0.55311863897357,0.957562028323637
2,1,"Pheno","Moderate","AYT",0.179062191236669,0.213096975655367,1.62303829826621,0.655055375393838,0.820332162500836,0.894429137759602,0.912444075992165
